gene,process,HCT116-21-3-c1,HCT116-21-3-c3,HCT116-5-4-p,HCT116-5-4,HCT116-8-3-c3,HCT116-8-3-c4,RPE-21-3-c-1-p,RPE-21-3-c1,RPE-21-3-c2,RPE-5-3-12-3-p,RPE-5-3-12-3,RPE1-5-3-12-3,RPEvsHCT116
COASY,Metabolism of Vitamins & Co-Factors,0.138956,0.330633,,-0.821887,-0.0403384,0.0992863,,-0.0128663,0.227887,,,-0.128038,
COQ10A,Electron Transport Chain,-0.143315,-0.100444,,0.0623027,-0.276357,0.16401,,0.153988,-0.906788,,,0.549344,
COQ10B,Electron Transport Chain,-0.0054669,0.0740366,,0.742465,-0.0953284,0.2355,,0.0922934,-0.271445,,,-0.206629,
COQ2,Ubiquinone Biosynthesis,0.242928,0.0905531,,0.0920132,0.315259,-0.241025,,0.320767,-0.190931,,,0.710398,
COQ3,Ubiquinone Biosynthesis,-0.0247656,-0.102659,,-0.135963,-0.0963907,-0.0813976,,0.0881337,-0.565793,,,0.365131,
COQ4,Ubiquinone Biosynthesis,0.38961,0.586007,,-0.296778,0.172074,-0.134991,,0.330151,0.829604,,,0.293151,
COQ5,Ubiquinone Biosynthesis,0.224884,0.0440356,,-0.260391,-0.0203596,-0.0069774,,0.0474576,-0.514578,,,0.568085,
COQ6,Ubiquinone Biosynthesis,0.307783,0.352036,,0.0840136,-0.216061,-0.0942969,,0.073045,0.343038,,,-0.0357819,
COQ7,Ubiquinone Biosynthesis,-0.107563,-0.0466915,,0.494296,-0.141825,0.00417696,,0.0592085,-0.29368,,,-0.0259803,
COQ9,Ubiquinone Biosynthesis,0.0799115,0.0728463,,-0.14605,0.108059,0.000641852,,0.103445,0.22455,,,0.156096,
COX1,Electron Transport Chain,,,,,,,,,,,,,
COX10,Electron Transport Chain,0.11079,0.0276132,,0.206249,0.107707,-0.0727688,,0.026908,-0.0267577,,-0.125667,-0.125667,0.888705
COX11,Electron Transport Chain,-0.0778169,-0.0888498,-0.9844,-0.755094,-0.0991025,-0.0569827,,-0.140195,-0.455967,,0.216726,0.216726,0.147857
COX14,Electron Transport Chain,0.152094,0.00270668,,-0.351982,-0.0422974,0.0329729,,-0.059754,-0.615053,,0.534442,0.534442,-0.487287
COX15,Electron Transport Chain,0.091696,-0.150981,0.166073,-0.218372,-0.00341485,-0.233662,0.460965,-0.0624697,-0.443101,0.29191,-0.18975,-0.18975,0.374314
COX16,Electron Transport Chain,0.192371,0.0966474,,-0.214175,-0.0635523,-0.150784,,-0.125661,-0.561027,,,0.190466,
COX17,Electron Transport Chain,0.0667631,-0.00502468,,-0.197374,0.0991089,0.101056,,-0.0770023,0.826257,,0.598152,0.598152,0.932892
COX18,Electron Transport Chain,0.0131165,-0.0744343,,-0.336695,0.0873007,-0.0459246,,0.125901,-0.279118,,0.170143,0.170143,-0.349661
COX19,Electron Transport Chain,,,,,,,,,,,-0.213246,,0.232149
COX2,Electron Transport Chain,,,,,,,,,,,,,
COX20,Electron Transport Chain,-0.0125359,0.316179,0.881031,1.07657,-0.170168,0.204698,0.0708454,-0.142567,0.313481,-0.217975,-0.298525,-0.298525,-0.282595
COX3,Electron Transport Chain,,,,,,,,,,,,,
COX4I1,Electron Transport Chain,,,0.237698,,,,-0.738465,,,0.0324477,0.157396,,0.360628
COX4I2,Electron Transport Chain,,,,,,,,,,,,,
COX5A,Electron Transport Chain,0.314057,0.120274,0.0858829,-0.246034,-0.0298049,-0.237814,-0.288772,-0.146366,-0.273708,0.139665,0.213909,0.213909,0.4395
COX5B,Electron Transport Chain,,,0.428193,,,,-2.45633,,,0.0224051,0.210277,,0.160449
COX6A1,Electron Transport Chain,0.170087,0.101316,,-0.200963,-0.133499,-0.148255,,-0.245867,-0.0278841,,0.568288,0.568288,0.0245028
COX6A2,Electron Transport Chain,,,,,,,,,,,,,
COX6B1,Electron Transport Chain,0.0982392,0.151672,0.0633762,0.0891323,-0.0525217,-0.0231988,-2.05558,-0.0830286,0.840636,-0.138946,0.15356,0.15356,0.0647602
COX6B2,Electron Transport Chain,-1.41627,-0.674567,,-0.452723,0.618929,0.38461,,,,,,,
COX6C,Electron Transport Chain,0.232756,0.123115,0.100371,0.242697,0.230471,0.229339,-3.232,0.00341954,0.08316,-0.393306,0.218219,0.218219,0.46539
COX7A1,Electron Transport Chain,,,,,,,,,,,,,
COX7A2,Electron Transport Chain,,,0.0494411,,,,-3.92713,,,-0.298306,0.162219,,-0.0451381
COX7A2L,Electron Transport Chain,,,,,,,,,,,,,
COX7B,Electron Transport Chain,,,,,,,,,,,0.211679,,-0.103011
COX7B2,Electron Transport Chain,,,,,,,,,,,,,
COX7C,Electron Transport Chain,0.191251,0.0130021,,0.662359,-0.188487,-0.0988651,-2.08079,-0.249215,-0.43723,-0.361095,0.557389,0.557389,-0.0200248
COX8A,Electron Transport Chain,-0.0375772,-0.0154853,,0.140548,-0.0691383,0.103946,,-0.167481,0.403803,,0.652344,0.652344,-0.0862329
COX8C,Electron Transport Chain,,,,,,,,,,,,,
CPOX,Heme Biosynthesis,-0.897395,-0.880173,-0.523504,-0.458867,0.442848,0.473788,,-0.137813,-0.78227,0.0307372,-0.616665,-0.616665,3.33066
CPS1,Nitrogen Metabolism,0.0147608,-0.295646,-0.898007,-0.938861,-0.107042,-0.00462241,0.482755,-0.0355601,-0.190248,1.01534,-0.163347,-0.163347,0.457439
CPT1A,Fatty Acid Degradation and Beta-oxidation,-0.0507897,-0.276236,0.11929,-0.177208,-0.153698,-0.117267,0.448371,0.384497,1.07863,0.0966378,0.350191,0.350191,1.04597
CPT1B,Fatty Acid Degradation and Beta-oxidation,-0.200687,0.26789,0.28929,0.360365,0.0896463,0.00888126,,0.226176,1.21469,,-0.0579203,-0.0579203,
CPT1C,Fatty Acid Degradation and Beta-oxidation,0.409387,0.183798,,-3.36507,0.0432361,-0.360047,,0.228031,0.432532,,-3.05478,-3.05478,-0.129766
CPT2,Fatty Acid Degradation and Beta-oxidation,0.195863,0.194422,-0.258049,-0.191466,0.0689919,0.00407386,-0.0377336,-0.104393,-0.125732,0.193998,-0.173439,-0.173439,-0.0470266
CRAT,Fatty Acid Metabolism,0.0191608,0.130949,2.09315,1.91477,0.326865,0.294424,0.253275,-0.0380522,0.501851,-0.0347791,-0.149487,-0.149487,-2.03025
CREB1,Replication & Transcription,,,0.0465853,,,,,,,,-0.0816338,,-0.644737
CRLS1,Cardiolipin Biosynthesis,0.110854,0.0244413,,0.0329723,-0.197689,-0.243117,,0.067673,-0.224866,,0.0363071,0.0363071,-0.139896
CS,Tricarboxylic Acid Cycle,,,0.302727,,,,-0.0625362,,,0.508773,0.368019,,-0.131748
CTPS2,Nucleotide Metabolism,0.0554328,0.0832671,,-0.74182,-0.0288175,0.120974,,0.0858624,0.218802,,,-0.305354,
CTSB,Apoptosis,-0.291739,0.0727325,,0.888335,0.492758,0.126271,,0.306245,0.362875,,,0.396037,
CTU1,Translation,-0.050958,-0.315185,,-0.980883,-0.1448,-0.103121,,0.0385114,1.2969,,,-0.0734977,
CYB5A,Metabolism of Vitamins & Co-Factors,,,,,,,,,,,,,
CYB5B,Metabolism of Vitamins & Co-Factors,,,,,,,,,,,,,
CYC1,Electron Transport Chain,,,0.152175,,,,0.366095,,,0.478004,0.221833,,1.32847
CYCS,Electron Transport Chain,,,-0.0703966,,,,0.527492,,,0.948391,-0.27386,,0.791707
CYP11A1,Bile Acid Synthesis,,,,,,,,,,,,,
CYP11A1,Metabolism of Lipids & Lipoproteins,,,,,,,,,,,,,
CYP11B1,Metabolism of Lipids & Lipoproteins,,,,,,,,,,,,,
CYP11B2,Metabolism of Lipids & Lipoproteins,,,,,,,,,,,,,
CYP24A1,Bile Acid Synthesis,-1.25286,-2.15917,,-7.64169,-0.513079,-0.0927381,,,-4.5578,,,,
CYP24A1,Metabolism of Vitamins & Co-Factors,-1.25286,-2.15917,,-7.64169,-0.513079,-0.0927381,,,-4.5578,,,,
CYP27A1,Bile Acid Synthesis,,-1.71138,,0.993095,,,,-2.96492,-2.92496,,,-0.170178,
CYP27A1,Metabolism of Lipids & Lipoproteins,,-1.71138,,0.993095,,,,-2.96492,-2.92496,,,-0.170178,
CYP27B1,Bile Acid Synthesis,-0.0157498,-0.907324,,-0.562596,-0.674059,-0.280822,,,-2.35831,,,1.2258,
CYP27B1,Metabolism of Vitamins & Co-Factors,-0.0157498,-0.907324,,-0.562596,-0.674059,-0.280822,,,-2.35831,,,1.2258,
CYTB,Electron Transport Chain,,,,,,,,,,,,,
Coa1,Electron Transport Chain,,,,,,,,,,,,,
D2HGDH,Electron Transport Chain,-0.0280132,-0.0232859,,-0.0863903,0.142393,-0.115175,,-0.25345,0.607969,,,-0.223146,
DAP3,Translation,0.313427,,-0.175271,-0.210748,-0.0277151,0.0336546,-0.338453,-0.263582,-0.34468,0.269373,0.00485945,0.00485945,0.384083
DARS2,Translation,0.0222777,-0.218175,-0.364682,-0.409746,0.360196,0.176785,-0.455649,-0.125008,-0.347257,-0.622649,-0.0919742,-0.0919742,0.115248
DBT,Amino Acid Metabolism,0.193002,-0.117401,,-0.541004,-0.155062,-0.140997,,0.172905,-0.0859627,,,0.0673475,
DDAH1,Nitrogen Metabolism,-0.189963,-0.241359,,0.246323,-0.24662,-0.108719,,-0.0549528,0.226827,,,-0.648382,
DDX28,Translation,0.150162,-0.0626437,-0.3568,-0.66773,0.175534,-0.172034,,-0.127221,-0.160823,,-0.0321732,-0.0321732,0.503955
DECR1,Fatty Acid Degradation and Beta-oxidation,,,0.32956,,,,0.402988,,,0.213521,-0.0408158,,-0.755066
DGOUK,Replication & Transcription,,,,,,,,,,,,,
DHFRL1,Folate & Pterine Metabolism,-0.276133,-0.147404,,-0.547934,0.0702534,-0.0418468,,-6.08893e-05,0.137395,,,-0.277974,
DHODH,Nucleotide Metabolism,0.350694,0.345456,,-0.301354,0.0878374,-0.158349,,-0.187363,-0.277285,,,-0.405403,
DHRS4,Metabolism of Vitamins & Co-Factors,0.11527,0.026497,,-0.161301,0.0973264,-0.00196346,,0.0225404,-0.0419051,,,0.25478,
DHTKD1,Amino Acid Metabolism,0.106465,-0.0291274,,0.029169,0.0246959,0.0820174,,-0.0189438,0.282248,,,-0.279739,
DHX29,Replication & Transcription,-0.0379902,-0.0817398,,1.06692,0.148462,0.0416493,,0.226438,0.191269,,,0.760448,
DHX29,Translation,-0.0379902,-0.0817398,,1.06692,0.148462,0.0416493,,0.226438,0.191269,,,0.760448,
DHX30,Translation,,,-0.0169645,,,,0.10785,,,0.00874029,0.172474,,0.714518
DIABLO,Apoptosis,,,-0.103317,,,,-0.16543,,,0.699466,0.379247,,-0.210861
DKC1,Translation,,,,,,,,,,,-0.0928007,,
DLAT,Pyruvate Metabolism,0.17938,0.149145,-0.214985,-0.357688,-0.131847,0.0532334,-0.166201,-0.109312,-0.381467,0.0917404,0.413448,0.413448,1.00276
DLD,Tricarboxylic Acid Cycle,-0.0849166,0.0149595,0.129472,0.13845,-0.0686481,0.00151664,-0.20201,-0.10889,-0.508792,0.11688,-0.190034,-0.190034,0.0189444
DLST,Tricarboxylic Acid Cycle,0.208454,0.0818785,,-0.0746642,-0.0163976,-0.00706096,0.180479,0.0133157,0.00584075,0.481183,-0.0863537,-0.0863537,-0.36629
DMGDH,Metabolism of Lipids & Lipoproteins,,,,2.45574,,,,0.78258,0.634936,,,-1.23745,
DNA2,Replication & Transcription,-0.279489,0.00485399,,0.082491,0.11986,-0.0863033,,-0.040666,-0.709831,,,-0.02726,
DNAJA3,Apoptosis,0.042221,0.0252337,,-0.436863,0.20405,-0.08835,,-0.0474353,-0.401458,,,-0.228925,
DNAJC11,Mitochondrial Dynamics,0.124102,0.00478673,,-0.340015,0.209401,-0.0376423,,-0.148145,-0.101266,,,-0.160965,
DNAJC15,Import & Sorting,0.0443024,-0.253884,,0.0742257,-0.00770901,-0.0383693,,-0.0837422,0.197024,,,-0.128363,
DNAJC19,Import & Sorting,0.324706,-0.0475667,-0.249047,-0.0492167,-0.196634,-0.271362,,-0.032552,-0.433224,,0.153357,0.153357,0.0113182
DNAJC30,Protein Stability & Degradation,-0.0374899,-0.0575463,,-0.416428,0.167696,-0.098908,,0.000359872,0.222795,,,-0.0122951,
DNLZ,Import & Sorting,,,,,,,,,,,,,
DNM1,Apoptosis,,,-0.862657,,,,0.292793,,,-0.9115,-1.12019,,-2.14489
DNM1L,Apoptosis,0.142619,0.000987625,0.269153,0.137116,0.0376008,0.0573055,-0.0497701,-0.0391877,-0.760734,0.581756,0.485849,0.485849,-0.13778
DNM1L,Mitochondrial Dynamics,0.142619,0.000987625,0.269153,0.137116,0.0376008,0.0573055,-0.0497701,-0.0391877,-0.760734,0.581756,0.485849,0.485849,-0.13778
DTYMK,Nucleotide Metabolism,-0.136972,0.00744521,,-0.0139877,0.20766,0.111572,,-0.112678,-0.313948,,,0.351693,
DUS2L,Replication & Transcription,,,,,,,,,,,-0.232024,,0.021814
DUT,Nucleotide Metabolism,0.0485343,-0.0176346,,0.0339222,-0.0732946,-0.177557,,-0.0956104,-0.802955,,,0.20103,
DYNLL1,Apoptosis,0.0235505,0.125486,0.550408,0.364811,-0.00405302,0.126733,-0.0990932,0.0486226,-0.0819081,-0.0223323,0.295909,0.295909,-0.837677
EARS2,Translation,0.234826,0.0591568,0.0719,-0.277486,-0.0206099,-0.1075,0.177849,-0.252126,-0.034457,0.315145,-0.163149,-0.163149,0.586562
ECH1,Fatty Acid Degradation and Beta-oxidation,0.0758231,-0.0810991,,-0.550689,0.0553177,0.0464834,,0.34307,1.21042,,,0.099962,
ECHDC2,Amino Acid Metabolism,-0.0305118,0.117514,,0.298375,0.107673,0.170227,,0.507312,1.75679,,,-1.93091,
ECHDC2,Fatty Acid Degradation and Beta-oxidation,-0.0305118,0.117514,,0.298375,0.107673,0.170227,,0.507312,1.75679,,,-1.93091,
ECHDC3,Fatty Acid Biosynthesis and Elongation,0.545551,0.236602,,-0.310923,-0.0561826,-0.107809,,,,,,,
ECHS1,Fatty Acid Biosynthesis and Elongation,0.190476,0.0414206,0.234637,-0.0992491,0.0108047,0.0203913,0.148977,-0.262522,-0.145849,0.573102,0.0998343,0.0998343,-1.31191
ECI1,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
ECSIT,Electron Transport Chain,0.104845,0.0212212,0.824971,0.276243,-0.141349,-0.181696,-1.14763,-0.0650471,0.430905,-0.387583,0.616551,0.616551,
EEFSEC,Translation,-0.115762,-0.197836,,0.0178375,0.0471788,-0.140289,,0.106914,0.44505,,,0.169788,
EFHA1,Calcium Signaling & Transport,,,0.0835411,,,,-0.0446039,,,-0.0330883,0.238617,,0.192499
EFHA2,Calcium Signaling & Transport,,,,,,,,,,,0.00846717,,-9.57398
EFHD1,Calcium Signaling & Transport,,,,1.13593,-0.670547,-0.285143,,,,,,,
EIF2AK1,Translation,,,,,,,,,,,-0.243936,,
EIF2AK3,Translation,,,,,,,,,,,-0.699948,,
EIF3M,Apoptosis,,,0.136917,,,,-0.184598,,,0.0814612,0.330513,,0.252508
ELAC2,Translation,0.234511,0.167719,-0.263456,-0.314878,0.0606428,0.00104804,-0.319155,0.033791,0.12973,0.18968,-0.0322416,-0.0322416,0.634651
ENDOG,Replication & Transcription,-0.0252893,-0.324959,0.134416,0.228809,0.0329855,-0.0776084,,-0.187199,0.439722,,-0.119893,-0.119893,-0.190722
ENO1,Glycolysis,0.0926338,0.0111292,0.306962,0.228409,-0.131296,-0.0887527,0.0400519,-0.293239,-0.0916199,0.269825,0.298018,0.298018,-0.394657
ENO2,Glycolysis,,,1.16562,,,,0.7043,,,1.14768,0.172972,,-1.10828
ENO3,Glycolysis,,,,,,,,,,,0.21593,,1.82482
ERAL1,Translation,-0.0162158,-0.0236114,,-0.297584,0.0918841,0.0221829,,0.128005,-0.151767,,,0.0324686,
ETFA,Electron Transport Chain,0.0254946,-0.0870706,,-0.234307,-0.328471,-0.115123,,0.05407,-0.411459,,,-0.0440528,
ETFB,Electron Transport Chain,0.148068,0.0516499,,-0.499128,-0.0516409,-0.17264,,0.0397811,0.345374,,,0.379307,
ETFDH,Electron Transport Chain,0.0710093,-0.114209,,0.483252,0.0634597,-0.106033,,0.0575998,0.0377092,,,-0.494779,
ETHE1,Amino Acid Metabolism,0.359941,0.451279,,0.499522,0.172732,0.124073,,0.164698,0.312334,,,-0.593691,
EXOG,Replication & Transcription,-0.173892,0.0246768,,0.675599,0.0716946,-0.157274,,0.0974116,-0.247699,,,0.0971618,
FABP1,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
FABP12,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
FABP2,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
FABP3,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,0.296114,,-1.12837
FABP4,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
FABP5,Fatty Acid Degradation and Beta-oxidation,,,-1.47903,,,,0.270069,,,0.31414,0.728151,,1.64848
FABP6,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
FABP7,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
FABP9,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
FAHD1,Amino Acid Metabolism,0.107196,0.127731,,-0.169293,-0.15926,-0.327955,,-0.255287,0.0425566,,,-0.151876,
FAM162A,Apoptosis,0.469519,-0.0147308,,-0.490768,0.0555572,-0.354992,,-0.754209,0.277533,,,-0.530529,
FAM96A,Fe-S cluster biosynthesis,,,-0.739999,,,,,,,,-0.0692673,,0.54148
FAM96B,Fe-S cluster biosynthesis,,,,,,,0.0778021,,,0.164804,0.129971,,0.118065
FARS2,Translation,0.108145,-0.0462969,,0.822121,0.11073,-0.0102336,,0.0187189,-0.162397,,0.416596,0.416596,-1.04512
FASN,Fatty Acid Biosynthesis and Elongation,0.0571012,0.0393388,,-1.0921,-0.0582641,-0.0794444,,-0.666704,-0.440934,,,-0.149246,
FASTK,Electron Transport Chain,-0.230352,0.171651,,0.454117,0.248092,0.00707231,,0.220209,1.20955,,,0.0419492,
FASTKD1,Electron Transport Chain,,,,,,,,,,,,,
FASTKD3,Electron Transport Chain,,,,,,,,,,,,,
FASTKD5,Translation,-0.0689692,-0.131692,,-0.0355869,-0.0113182,-0.00935753,,-0.0523578,-0.219004,,,0.00419037,
FBP1,Glycolysis,,,,,,,,,,,,,
FBP2,Glycolysis,,,,,,,,,,,,,
FDPS,Metabolism of Lipids & Lipoproteins,0.187096,0.0951061,,-0.557948,-0.322107,-0.0803565,,-0.27158,-0.000253968,,,-0.0327861,
FDX1,Fe-S cluster biosynthesis,0.0264908,-0.392973,0.436727,-0.323102,-0.0301506,-0.0190595,,0.122629,-0.475731,,0.678232,0.678232,0.0921946
FDX1L,Fe-S cluster biosynthesis,0.0498132,0.128861,,-0.240055,0.168185,0.111901,,0.0140486,0.64429,,-0.0958817,-0.0958817,-0.433441
FDX2,Heme Biosynthesis,,,,,,,,,,,,,
FDXR,Fe-S cluster biosynthesis,-0.0706693,-0.0725749,-0.376429,-1.09726,0.259659,-0.0188332,1.18213,0.533943,0.733558,1.33643,-0.021708,-0.021708,2.08788
FECH,Heme Biosynthesis,0.109868,0.00164681,0.186874,0.270648,0.0428352,0.243078,0.21073,-0.0529042,0.148095,0.0310025,-0.452109,-0.452109,0.0764394
FEN1,Replication & Transcription,-0.266444,-0.0541735,,0.16511,-0.0247918,-0.0245943,,-0.0971617,-0.546373,,,-0.0651998,
FGR,Mitochondrial Signaling,,,,,,,,,,,,,
FH,Tricarboxylic Acid Cycle,,,0.250315,,,,-0.159371,,,0.039429,0.151026,,-0.581334
FIS1,Mitochondrial Dynamics,-0.00363251,-0.292711,-0.217041,-0.415472,-0.00827935,-0.038057,0.0279397,-0.143357,0.0611406,0.0736361,0.0829924,0.0829924,-0.872662
FKBP8,Apoptosis,-0.0237439,-0.0306322,,0.1653,0.100665,0.225575,,-0.0156961,0.785641,,,-0.0144479,
FOXRED1,Electron Transport Chain,,,-0.513062,,,,,,,,0.79858,,0.693145
FPGS,Folate & Pterine Metabolism,,,,,,,,,,,,,
FTH1,Heme Biosynthesis,-0.187159,-0.262994,,1.13247,0.298234,0.103502,,-0.43209,-0.406535,,,0.277329,
FTMT,Heme Biosynthesis,,,,,,,,,,,,,
FTSJ2,Translation,-0.00792287,-0.00630806,,-0.306699,0.119823,0.0683917,,-0.157483,-0.176491,,,-0.108091,
FUNDC1,Mitochondrial Dynamics,,,,,,,,,,,,,
FUNDC2,Mitochondrial Dynamics,,,,,,,,,,,,,
FXC1,Import & Sorting,0.259454,0.111424,,-0.245476,0.0663764,-0.157039,,-0.158829,0.0486959,,,-0.209804,
FXN,Fe-S cluster biosynthesis,0.186809,0.0584981,-0.0412772,0.444497,0.142025,-0.134814,,0.0967364,-0.43988,,-0.346227,-0.346227,0.821094
G6PC,Glycolysis,,,,,,,,,,,,,
GABARAP,Mitochondrial Dynamics,,,,,,,-0.238298,,,-0.0366087,0.116256,,-0.864412
GADD45GIP1,Translation,0.0456832,-0.105178,,-0.225748,0.15582,0.0301031,,0.111007,1.71377,,,0.141339,
GAPDH,Glycolysis,,,,,,,0.0800117,,,0.752364,0.647056,,-0.895573
GAPDHS,Glycolysis,,,,,,,,,,,,,
GARS,Translation,0.447107,0.0654279,-0.130542,0.337404,0.184479,0.0763534,,0.308295,-0.0450349,,-0.653828,-0.653828,-0.647748
GATC,Translation,0.0739303,-0.00777607,,-0.472896,-0.116364,-0.163085,,-0.141374,-0.745027,,0.572293,0.572293,0.0304398
GBAS,Electron Transport Chain,-0.0719705,-0.170419,,-0.0820508,-0.0821306,-0.0966537,,0.0232143,-0.196315,,,-0.392595,
GCAT,Heme Biosynthesis,0.183517,-0.120724,,-0.849163,0.0371252,-0.238772,,-0.130127,1.20636,,,0.552771,
GCDH,Fatty Acid Degradation and Beta-oxidation,0.20938,-0.182098,,-0.167512,-0.0328853,-0.105794,,-0.19463,-0.0827969,,,0.208943,
GCK,Glycolysis,,,,,,,,,,,,,
GCLC,ROS defense,,,0.16558,,,,0.905602,,,0.671187,-0.149347,,1.40959
GCLM,ROS defense,,,0.596458,,,,0.478366,,,0.562858,0.424699,,-0.286939
GCSH,Amino Acid Metabolism,0.31552,-0.0137376,,-0.319159,0.0103949,-0.281758,,-0.258106,-0.469356,,,-0.347483,
GDAP1,Mitochondrial Dynamics,-0.238135,-0.059042,-0.031842,-0.421798,0.451613,0.314229,,-1.10337,-1.6041,,-1.12839,-1.12839,1.30452
GFER,Apoptosis,-0.0653832,0.0366612,,0.153625,0.244725,0.192345,,-0.132459,0.31977,,0.250887,0.250887,0.259082
GFM1,Translation,,,0.307181,,,,0.0148056,,,0.0965451,-0.275731,,-0.0351528
GFM2,Translation,,,0.707703,,,,0.412864,,,1.04213,0.48602,,-0.0286938
GHITM,Apoptosis,,,,,,,,,,,,,
GK,Replication & Transcription,,,,,,,,,,,,,
GK2,Replication & Transcription,,,,,,,,,,,,,
GLDC,Amino Acid Metabolism,-0.0529124,-0.115801,,-0.527563,0.160733,-0.0281311,,0.201288,-1.15052,,,0.224657,
GLRX2,ROS defense,,,,,,,,,,,0.554266,,0.3723
GLRX5,ROS Defense,-0.00749769,-0.0691179,-0.100572,-0.481442,0.103625,-0.0119245,-0.235114,-0.0232297,-0.368429,0.316025,0.216384,0.216384,0.58736
GLS,Amino Acid Metabolism,-0.0613588,0.00467184,,-0.0472649,0.0543346,0.220276,,0.284798,0.210815,,,-0.053148,
GLS2,Amino Acid Metabolism,,,,,,,,,,,,,
GLUD1,Amino Acid Metabolism,-0.0353621,-0.250624,,0.065216,0.00473824,-0.0130214,,0.12444,-0.59951,,,0.209266,
GLUD2,Amino Acid Metabolism,,,,,-0.115508,-0.100796,,,,,,,
GLUL,Amino Acid Metabolism,-0.160453,-0.176127,,-0.668303,-0.110727,0.106383,,-0.679654,-1.0683,,,0.840332,
GLYAT;,Translation,,,,,,,,,,,,,
GLYATL2,Translation,,,,,,,,0.152832,-0.446801,,,-0.519048,
GLYATL3,Translation,,,,,,,,,,,,,
GLYCTK,Fructose Metabolism,-0.138698,0.948657,,1.15031,-0.251143,-0.520859,,-0.0868177,-0.34723,,,0.561129,
GOT1,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
GOT2,Amino Acid Metabolism,,,-0.434984,,,,0.261293,,,0.419758,0.130273,,-0.179894
GPAM,Metabolism of Lipids & Lipoproteins,-0.0770598,-0.0627269,,-0.276059,0.261561,-0.00423373,,0.547297,-0.143011,,,2.32326,
GPAT2,Metabolism of Lipids & Lipoproteins,0.23688,0.245511,,-0.213519,-0.146227,-0.238735,,,,,,,
GPD1,Electron Transport Chain,0.978622,0.326393,,,0.588015,0.617496,,,,,,,
GPD2,Electron Transport Chain,-0.353748,-0.242112,,-0.0884372,-0.0821015,0.168781,,0.221262,-0.507466,,,0.526528,
GPI,Glycolysis,0.125741,0.0298751,,0.361646,0.0872496,-0.0488901,0.178829,-0.360532,-0.161021,-0.333424,-0.692787,-0.692787,0.684264
GPT2,Amino Acid Metabolism,0.117903,-0.106717,,-0.200115,0.269055,0.0519589,,-0.0111969,-0.117061,,,-0.834288,
GPX1,ROS Defense,-0.191246,-0.0515781,-0.461494,0.296156,0.16256,0.190703,-0.0278618,0.564753,0.588396,-0.24123,0.325682,0.325682,-0.194439
GPX4,ROS Defense,0.0813047,-0.0983736,-0.0752616,-0.167635,-0.0324733,0.12126,-0.548141,-0.0992257,0.605118,-0.633571,0.205737,0.205737,-0.373168
GRPEL1,Import & Sorting,0.387493,0.153708,-0.152133,-0.574772,-0.0913394,-0.177289,0.329087,0.0471536,-0.122971,0.581734,-0.00761022,-0.00761022,1.03219
GRPEL2,Import & Sorting,0.19726,0.0428535,0.753117,0.622686,-0.176979,-0.339159,,-0.115203,-0.263589,,0.0456537,0.0456537,1.13199
GSR,ROS Defense,0.172253,-0.167331,0.0177795,-0.496719,0.737017,0.655039,0.635607,0.012378,-0.190282,0.361324,0.442159,0.442159,1.68781
GSS,ROS defense,,,0.162468,,,,0.550359,,,0.328,0.0511885,,0.540958
GSTA1,ROS defense,,,,,,,,,,,,,
GSTA2,ROS defense,,,,,,,,,,,,,
GSTA4,ROS defense,,,,,,,,,,,-0.65935,,-3.18736
GSTP1,ROS defense,,,0.612427,,,,0.426024,,,0.221421,0.459072,,0.169681
GSTZ1,Amino Acid Metabolism,,,,,,,,,,,,,
GTPBP10,Translation,0.147899,-0.0976256,,-0.280197,-0.233354,-0.321418,,0.0676423,-0.491824,,,0.271695,
GTPBP3,Translation,0.213145,0.0356933,-0.651552,-0.36333,0.0369194,0.0802334,,0.0639768,-0.187494,,-0.443427,-0.443427,1.59893
GTPBP5,Translation,-0.184871,-0.0849607,,-0.169174,0.191208,0.0268002,,-0.0727398,0.0742245,,,0.266238,
GUF1,Translation,0.369829,0.280419,,-0.378857,0.124219,-0.299355,,-0.288068,-0.635958,,,-0.340664,
HADH,Fatty Acid Biosynthesis and Elongation,0.327279,0.197587,0.111827,-0.16683,-0.0548253,-0.29476,-0.216734,-0.283157,-0.480806,-0.0129261,0.050327,0.050327,-0.244802
HADHA,Fatty Acid Biosynthesis and Elongation,0.195486,0.0776014,0.331636,0.0459719,-0.0840546,-0.0415687,0.445441,-0.0487785,-0.195326,0.621932,0.238409,0.238409,-0.425307
HADHB,Fatty Acid Biosynthesis and Elongation,0.0279321,-0.02637,0.317432,0.292378,-0.0584489,0.0863378,0.474472,0.0404142,-0.247644,0.662803,0.145076,0.145076,-0.611406
HAGH,Pyruvate Metabolism,-0.107062,-0.238746,,0.610666,-0.0718074,0.407836,,-0.112987,0.865673,,,-0.112351,
