gene	process	TCGA-BH-A0B3	TCGA-BH-A0E0	TCGA-BH-A0BM	TCGA-BH-A0HK
NTHL1	Replication & Transcription	1.0001	0.4254	0.2884	0.4653
NUBP1	Fe-S cluster biosynthesis	0.6599	-0.5116	0.5663	-0.0797
NUBP2	Fe-S cluster biosynthesis	0.8009	-0.1464	0.5999	0.1254
NUBPL	Electron transport chain	-0.8221	-0.9160	0.0089	-0.0382
OGDH	Tricarboxylic acid cycle	-0.0091	0.4482	-0.1397	-0.2431
OGG1	Replication & Transcription	-0.2133	-0.1201	0.3735	0.0362
OMA1	Mitochondrial Dynamics	-0.5204	-0.2976	0.6358	0.3496
OPA1	Mitochondrial Dynamics	0.7656	0.8914	-0.2067	0.3781
OPA3	Mitochondrial Dynamics	0.5483	0.4495	-0.2977	-0.8174
OSGEPL1	Replication & Transcription	-0.7971	-1.1174	0.3149	0.7076
OXA1L	Translation	-0.2693	-0.3475	0.0571	0.2828
PACS2	Calcium trafficking	0.5084	0.3628	0.0992	-0.2385
PARK2	Mitochondrial Dynamics	-3.2728	-1.2639	-1.1153	-0.7406
PARL	Mitochondrial Dynamics	0.9489	0.5754	-0.2312	-0.1806
PARS2	Translation	0.2294	0.9954	-0.1087	0.9480
PDHA1	Formation of Acetyl CoA	1.7647	1.4037	-0.1961	-0.0065
PDHB	Formation of Acetyl CoA	0.5487	-0.0969	0.3770	-0.1311
PDHX	Formation of Acetyl CoA	0.0480	0.5419	0.3155	0.6044
PET112	Translation	-0.3307	-0.8008	0.7221	0.8151
PFKL	Glycolysis	1.0317	0.6661	0.0541	0.4340
PFKM	Glycolysis	-0.9048	-2.1411	-1.6226	-1.6981
PFKP	Glycolysis	3.3032	0.2631	-1.5964	-0.1210
PGAM1	Glycolysis	1.5247	0.5632	0.2321	-0.7342
PGAM2	Glycolysis	-2.5509	-2.6408	0.3756	0.1996
PGK1	Glycolysis	2.7503	0.4443	-0.0788	0.4410
PGS1	Cardiolipin biosynthesis	0.4215	0.6201	-0.5725	0.3290
PHB	Translation	0.8341	-0.3110	-0.0047	0.3282
PHB2	Mitochondrial Dynamics	0.2323	0.5416	-0.1717	0.8110
PINK1	Mitochondrial Dynamics	-0.5421	-0.4769	-0.2282	-0.8817
PKIA	Mitochondrial Dynamics	-1.6239	-3.2893	-1.1272	-2.0073
PKM2	Glycolysis	1.7953	-0.1858	0.4436	0.2755
PLD6	Mitochondrial Dynamics	0.7549	0.8279	-0.7481	1.2884
PMAIP1	Apoptosis	1.5105	1.4076	0.1887	1.8148
PML	Calcium trafficking	0.8584	0.5209	0.2881	0.5394
PMPCA	Import & Sorting	0.4719	0.5111	-0.1823	0.0542
PMPCB	Import & Sorting	0.0868	0.2566	-0.5166	-0.0312
POLG	Replication & Transcription	0.3737	0.0136	0.0158	-0.2316
POLG2	Replication & Transcription	-0.3661	-0.3807	-0.9418	0.2386
POLRMT	Replication & Transcription	-0.1038	0.5577	0.2021	0.7477
PPARGC1A	Replication & Transcription	-2.0507	0	0	0
PPIA	Apoptosis	1.6019	0.2138	0.2661	0.3987
PPIF	Apoptosis	0.7949	1.4792	0.9019	0.2759
PPOX	Heme Biosynthesis	0.7199	1.4275	0.6790	0.7835
PRDX3	ROS defense	-0.8978	-0.3926	0.5682	0.5008
PTCD2	Electron transport chain	-0.4399	-1.0342	-0.1619	0.3110
PTCD3	Translation	-0.0468	0.9096	-0.1308	0.2723
PTPMT1	Cardiolipin biosynthesis	1.1420	-0.3720	0.5061	-0.1674
PUS1	Replication & Transcription	1.4615	0.6291	0.3051	0.6684
PUS3	Replication & Transcription	0.5322	-0.3645	0.1770	-0.3154
QRSL1	Translation	0.1631	0.3491	-0.7994	0.0859
QTRT1	Replication & Transcription	-0.4404	-0.3276	0.4797	-0.0036
QTRTD1	Replication & Transcription	0.0986	0.3361	-0.1219	0.7483
RARS2	Translation	0.6290	0.1492	-0.3525	0.0747
RHOT1	Mitochondrial Dynamics	-0.5912	-0.8576	-0.1136	0.0948
RHOT2	Mitochondrial Dynamics	0.3365	-0.1723	0.1324	0.3243
RMRP	Replication & Transcription	0.4531	-3.3986	2.2271	1.2707
RNASEH1	Replication & Transcription	0.5958	2.3913	-0.2775	-0.3359
RNASEL	Translation	-0.6090	-0.3400	-0.1547	0.2333
RPUSD2	Replication & Transcription	-0.1281	-0.0430	-0.0984	-0.5793
RPUSD4	Replication & Transcription	-0.1104	-0.9442	-0.1435	-0.3125
RRM2B	Replication & Transcription	0.1290	-1.5709	-0.0156	-0.0889
SAMM50	Import & Sorting	-0.0762	-0.1187	-0.3401	0.9729
SARS2	Translation	0.9951	0.3771	0.0101	0.3383
SCO1	Electron transport chain	0.4146	-0.1340	0.2027	-0.2324
SDHA	Tricarboxylic acid cycle	1.0388	-0.3902	-0.1033	-0.6685
SDHAF1	Electron transport chain	0.8224	0.8819	0.6394	0.1947
SDHAF2	Electron transport chain	0.8040	0.6133	0.2709	-0.0389
SDHB	Tricarboxylic acid cycle	0.5398	0.0165	0.5151	0.3233
SDHC	Tricarboxylic acid cycle	1.9401	1.1278	0.5622	1.1075
SDHD	Tricarboxylic acid cycle	-0.1730	0.7624	0.3688	0.3830
SELRC1	Electron transport chain	1.1052	0.6622	-0.7517	-0.3086
SH3GLB1	Mitochondrial Dynamics	0.2306	0.3217	-0.2638	0.0812
SHC1	ROS defense	1.1931	1.0750	0.3876	0.3222
SIGMAR1	Calcium trafficking	1.4272	1.7969	0.3924	0.5756
SLC24A6	Calcium trafficking	0.5108	-0.0903	0.4116	-0.4613
SLC25A1	ROS defense	0.8620	1.7397	0.6664	0.7415
SLC25A19	Replication & Transcription	2.3182	0.9361	0.3457	1.4109
SLC25A20	Fatty acid beta-oxidation	-0.5547	-1.1131	-0.5141	-0.9244
SLC25A28	Fe-S cluster biosynthesis	0.3782	0.2745	0.1307	-0.7592
SLC25A3	Replication & Transcription	0.5393	-0.6257	-0.1096	-0.1134
SLC25A33	Replication & Transcription	0.1677	1.8634	0.2969	-0.7411
SLC25A37	Fe-S cluster biosynthesis	0.7154	1.7048	-0.3573	-2.6156
SLC25A4	Apoptosis	-0.3391	-1.4000	-0.7097	-1.9590
SLC25A5	Apoptosis	1.4966	0.4476	-0.3935	1.4071
SLC27A1	Fatty acid beta-oxidation	-1.5646	-3.4886	-0.2930	0.0354
SLC27A2	Fatty acid beta-oxidation	0.2973	-3.5438	-1.2786	3.5383
SLC27A3	Fatty acid beta-oxidation	0.4014	-0.5875	-0.8565	-0.4620
SLC27A4	Fatty acid beta-oxidation	0.8614	0.9930	0.2033	0.0325
SLC27A5	Fatty acid beta-oxidation	0.3889	-0.6119	0.5306	-1.6765
SLC27A6	Fatty acid beta-oxidation	-1.0480	-0.3017	-2.8113	-6.7779
SLC29A1	Replication & Transcription	0.3943	-0.3091	-1.0691	0.3302
SLC2A1	Glycolysis	3.1064	2.5969	-0.1715	1.1687
SLC2A3	Glycolysis	1.7215	0.0521	1.2492	-0.5714
SLC2A4	Glycolysis	-3.8373	-5.2647	-0.1519	0.5331
SLC2A5	Glycolysis	4.0586	0.4267	-0.4723	-1.2713
SOD1	ROS defense	0.5856	-0.5689	0.5693	0.8050
SOD2	ROS defense	0.7759	0.6644	-0.7537	-1.7824
SPG7	Mitochondrial Dynamics	-0.4168	0.1253	-0.3991	-0.2729
SQSTM1	Mitochondrial Dynamics	0.4851	0.3842	0.1755	0.3184
SSBP1	Replication & Transcription	1.0923	1.1572	0.5847	0.5743
STOML2	Mitochondrial Dynamics	0.8892	0.6136	0.2384	0.3122
SUCLA2	Tricarboxylic acid cycle	-0.4901	-0.7919	-0.2383	0.0255
SUCLG1	Tricarboxylic acid cycle	-0.0901	0.0950	0.2352	0.3854
SUCLG2	Tricarboxylic acid cycle	-0.0940	-1.3648	0.4019	0.4879
SURF1	Electron transport chain	-0.0868	-1.0666	0.6089	0.1025
SYBU	Mitochondrial Dynamics	-3.4093	-4.8209	-0.4273	0.6842
TACO1	Translation	1.1308	-0.3321	0.0390	0.7194
TARS2	Translation	1.4183	1.1844	0.7966	2.0185
TAZ	Cardiolipin biosynthesis	0.8182	0.7047	0.3336	0.4378
TCHP	Calcium trafficking	-0.1132	-0.3261	-0.2782	-0.1257
TFAM	Replication & Transcription	-0.3084	0.1123	-0.0722	0.2442
TFB1M	Replication & Transcription	0.0374	-1.0630	-0.8001	0.3510
TFB2M	Replication & Transcription	1.1527	-0.1026	0.4552	1.7241
TIMM10	Import & Sorting	1.0599	0.7707	1.0111	0.3462
TIMM13	Import & Sorting	0.7679	-0.1697	0.5195	0.2897
TIMM17A	Import & Sorting	1.3874	0.4789	0.7151	1.0321
TIMM17B	Import & Sorting	1.2006	1.7968	0.5816	0.3062
TIMM21	Import & Sorting	-0.2917	0.4471	-0.2114	0.1600
TIMM22	Import & Sorting	0.2983	-0.3591	-0.2460	-0.5818
TIMM23	Import & Sorting	0.9195	0.9244	0.8036	0.2702
TIMM44	Import & Sorting	0.9933	0.5133	0.5582	0.2787
TIMM50	Import & Sorting	1.6340	0.9483	0.4081	0.4686
TIMM8A	Import & Sorting	0.9614	1.4870	-0.7092	1.3517
TIMM8B	Import & Sorting	1.1632	1.1289	0.8096	-0.8847
TIMM9	Import & Sorting	0.1935	-0.0504	0.0884	1.0047
TK2	Replication & Transcription	-0.6572	-1.7406	-0.1459	-0.3427
TMEM126B	Electron transport chain	-0.1459	1.1158	0.6319	-0.4321
TMEM70	Electron transport chain	1.1157	0.7457	0.2990	-0.5968
TOMM20	Import & Sorting	0.4054	-0.5915	-0.1465	1.3106
TOMM22	Import & Sorting	1.0613	-0.2812	0.2861	1.0446
TOMM40	Import & Sorting	2.5969	1.5610	0.3805	0.5697
TOMM40L	Import & Sorting	1.4036	1.6600	0.0531	0.2784
TOMM5	Import & Sorting	1.0869	1.1003	0.3915	0.9231
TOMM6	Import & Sorting	1.2434	0.8018	0.6747	0.8038
TOMM7	Import & Sorting	-0.6600	0.0220	-0.4516	-0.8251
TOMM70A	Import & Sorting	0.0839	0.6586	-0.0440	0.8592
TOP1MT	Replication & Transcription	1.6339	0.4954	-0.0876	1.5586
TOP3A	Replication & Transcription	1.0315	0.3875	-0.6472	-0.4702
TP53	Apoptosis	1.5230	0.5744	-1.0646	-0.2255
TPI1	Glycolysis	2.1432	1.0510	0.2029	0.4520
TRAK1	Mitochondrial Dynamics	-1.4660	-1.4805	0.0183	0.7090
TRAK2	Mitochondrial Dynamics	-0.9575	-1.5754	1.3518	0.6091
TRAP1	Mitochondrial Dynamics	0.8837	0.0139	-0.2119	0.5358
TRIT1	Replication & Transcription	0.5545	0.5859	0.2828	0.6832
TRMT1	Replication & Transcription	-0.0444	-0.2919	0.1502	0.3098
TRMT11	Replication & Transcription	-0.2693	-0.3954	-0.6346	-0.2702
TRMT112	Replication & Transcription	0.9780	0.6758	0.8866	0.7723
TRMT2B	Replication & Transcription	0.2894	1.1357	-0.4961	0.5346
TRMT5	Replication & Transcription	-0.5654	-0.3603	-0.4292	0.1074
TRMT6	Replication & Transcription	1.1568	1.0594	-0.0135	0.1428
TRMT61B	Replication & Transcription	-0.1412	-0.1532	-0.3803	-0.1075
TRMU	Replication & Transcription	0.4753	0.3343	0.5546	0.0324
TRNT1	Replication & Transcription	0.3220	-0.3631	0.3536	0.5548
TRUB2	Replication & Transcription	0.4498	0.1068	0.3391	0.7003
TSFM	Translation	0.5661	-0.1925	-0.1021	0.0609
TTC19	Electron transport chain	-0.4606	-1.0358	-0.6780	-0.8500
TUFM	Translation	0.9278	-0.4908	0.1876	0.8287
TXN2	ROS defense	-0.0307	-0.4441	0.3470	0.5833
TXNRD2	ROS defense	-0.3297	-0.7595	0.7006	-0.1293
UNG	Replication & Transcription	1.5473	-0.2970	-0.3125	0.4429
UQCC	Electron transport chain	-0.7531	0.6510	0.3716	0.4801
UQCR10	Electron transport chain	0.9782	0.2071	1.4036	1.1634
UQCR11	Electron transport chain	0.6216	-0.2080	1.1738	0.3998
UQCRB	Electron transport chain	1.1163	-0.4179	-0.0175	0.3845
UQCRC1	Electron transport chain	1.1393	0.1857	0.2711	0.1499
UQCRC2	Electron transport chain	0.2438	-0.5794	-0.2904	0.7716
UQCRFS1	Electron transport chain	0.9433	0.2176	0.0216	0.3144
UQCRH	Electron transport chain	1.5892	1.1589	0.3474	1.1078
UQCRQ	Electron transport chain	1.0607	-0.6120	2.0391	1.8793
UROD	Heme Biosynthesis	0.0817	-0.9361	0.4431	-0.4293
UROS	Heme Biosynthesis	1.2130	0.2691	1.1826	0.5399
VARS2	Translation	0.6038	0.4137	0.7353	0.6083
VDAC1	Apoptosis	1.1689	0.8328	0.4694	0.9351
VDAC2	Apoptosis	0.5882	0.9017	0.1506	0.8811
VDAC3	Apoptosis	1.0641	0.5524	0.2714	0.2896
WARS2	Translation	-0.1639	-0.7711	0.0718	0.7096
XIAP	Apoptosis	-0.1604	-0.0905	-0.1227	0.1890
YARS2	Translation	0.5776	1.2866	0.2042	0.2311
YME1L1	Mitochondrial Dynamics	0.1487	0.5118	-0.1306	0.9754
YRDC	Replication & Transcription	0.3885	0.5066	0.0075	-0.0826
